make,model,price_usd,year,kilometer,fuel_type,transmission,color,owner,seller_type,engine,max_power,max_torque,drivetrain,length_mm,width_mm,height_mm,seating_capacity,fuel_tank_capacity_l
Maruti Suzuki,Alto 800 LXi (O),5388,2019,3583,Petrol,Manual,Grey,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3445.0,1515.0,1475.0,5.0,35.0
Maruti Suzuki,Baleno Alpha Automatic,10739,2018,21365,Petrol,Automatic,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995.0,1745.0,1510.0,5.0,37.0
Maruti Suzuki,Wagon R ZXi 1.2 AMT,8388,2020,30777,Petrol,Automatic,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3655.0,1620.0,1675.0,5.0,32.0
Hyundai,Creta 1.6 E Petrol,8880,2016,60125,Petrol,Manual,Silver,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Maruti Suzuki,S-Presso VXi AMT,5640,2020,2169,Petrol,Automatic,Grey,First,Individual,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,3565.0,1520.0,1564.0,5.0,27.0
Volkswagen,Vento Comfortline Petrol AT,9180,2015,60240,Petrol,Automatic,Brown,First,Individual,1197 cc,103 bhp @ 5000 rpm,153 Nm @ 3800 rpm,FWD,4384.0,1699.0,1466.0,5.0,55.0
Hyundai,Santro Sportz AMT [2018-2020],7068,2018,13772,Petrol,Automatic,White,First,Individual,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD,3610.0,1645.0,1560.0,5.0,35.0
Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],11988,2019,27464,Petrol,Manual,Blue,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
Maruti Suzuki,Alto LXi CNG,4440,2019,47377,CNG,Manual,Grey,First,Individual,998 cc,58 bhp @ 6000 rpm,78 Nm @ 3500 rpm,FWD,3545.0,1490.0,1475.0,4.0,60.0
Maruti Suzuki,Ritz Zxi BS-IV,3900,2013,23086,Petrol,Manual,Grey,First,Individual,1197 cc,85 bhp @ 6000 rpm,113 Nm @ 4500 rpm,FWD,3775.0,1680.0,1620.0,5.0,43.0
Hyundai,Creta 1.6 SX Plus Petrol,14100,2019,36313,Petrol,Manual,Grey,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Honda,Brio V MT,4212,2014,39276,Petrol,Manual,Red,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610.0,1680.0,1500.0,5.0,35.0
Hyundai,Elite i20 Asta 1.2,6612,2015,47752,Petrol,Manual,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Honda,WR-V VX MT Petrol,9839,2018,27963,Petrol,Manual,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3999.0,1734.0,1601.0,5.0,40.0
Hyundai,Venue SX 1.0 Turbo iMT,11880,2020,24013,Petrol,Manual,Blue,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
Hyundai,Creta 1.6 SX Plus AT,11100,2016,66000,Diesel,Automatic,Black,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Ford,Ecosport Titanium+ 1.0L EcoBoost,6420,2015,28000,Petrol,Manual,Silver,First,Individual,999 cc,124 bhp @ 6000 rpm,170 Nm @ 1400 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
Honda,CR-V 2.4 AT,10320,2013,67000,Petrol,Automatic,Brown,First,Individual,,,,,,,,,
Hyundai,Santro GL (CNG),1740,2009,72000,CNG,Manual,Silver,Second,Individual,1086 cc,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565.0,1525.0,1590.0,5.0,35.0
Tata,Tiago Revotron XE [2016-2019],4908,2018,27069,Petrol,Manual,White,First,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746.0,1647.0,1535.0,5.0,35.0
Tata,Tigor Revotorq XT,5880,2018,43000,Diesel,Manual,White,First,Individual,1047 cc,69 bhp @ 4000 rpm,140 Nm @ 1800 rpm,FWD,3992.0,1677.0,1537.0,5.0,35.0
Toyota,Innova 2.4 G 8 STR [2016-2017],22800,2019,71000,Diesel,Manual,Bronze,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,8.0,55.0
Mercedes-Benz,GLC 220 d Progressive,46200,2017,45600,Diesel,Automatic,Black,Second,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD,4656.0,1890.0,1639.0,5.0,66.0
Hyundai,Creta SX 1.6 CRDi (O),13500,2018,60000,Diesel,Manual,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
Mercedes-Benz,M-Class ML 250 CDI,27600,2014,105101,Diesel,Automatic,White,First,Individual,2143 cc,203 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,4804.0,2141.0,1796.0,5.0,70.0
Toyota,Corolla Altis VL AT Petrol,13140,2016,45000,Petrol,Automatic,Black,First,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4620.0,1775.0,1475.0,5.0,55.0
Audi,A4 2.0 TDI (177bhp) Premium Plus,18900,2013,66000,Diesel,Automatic,White,First,Individual,1968 cc,177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
Mercedes-Benz,SLK-Class SLK 200 K,28800,2010,34105,Petrol,Automatic,Grey,First,Individual,1796 cc,165@5500,240@3000,RWD,4082.0,1777.0,1297.0,2.0,70.0
Hyundai,Elite i20 Asta 1.2,6300,2015,68397,Petrol,Manual,Gold,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Mahindra,Thar CRDe 4x4 AC,7500,2015,65000,Diesel,Manual,White,Second,Individual,2498 cc,105 bhp @ 3800 rpm,247 Nm @ 1800 rpm,AWD,3920.0,1726.0,1930.0,6.0,60.0
Maruti Suzuki,Baleno Delta 1.2,7260,2019,27469,Petrol,Manual,Silver,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Maruti Suzuki,Celerio VXi AMT,4944,2016,41058,Petrol,Automatic,Silver,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
Maruti Suzuki,Ciaz VDi SHVS,7500,2016,51330,Diesel,Manual,Brown,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Maruti Suzuki,Ciaz VXi,6132,2015,45969,Petrol,Manual,Silver,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Hyundai,Creta SX Plus 1.6 AT CRDI,13800,2017,66602,Diesel,Automatic,Grey,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Hyundai,Creta SX Plus 1.6  Petrol,10620,2016,57983,Petrol,Manual,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Renault,Kwid 1.0 RXT AMT Opt,5640,2019,11183,Petrol,Automatic,Silver,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
MG,Hector Sharp 2.0 Diesel [2019-2020],19332,2019,46301,Diesel,Manual,White,First,Individual,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4655.0,1835.0,1760.0,5.0,60.0
Tata,Tiago Revotron XZA [2017-2019],5700,2017,34867,Petrol,Automatic,Silver,Second,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746.0,1647.0,1535.0,5.0,35.0
Toyota,Innova 2.5 GX BS IV 7 STR,10380,2015,43634,Diesel,Manual,Silver,First,Individual,2494 cc,101 bhp @ 3600 rpm,200 Nm @ 1200 rpm,RWD,4585.0,1765.0,1760.0,7.0,55.0
BMW,X3 xDrive 20d Luxury Line [2018-2020],45600,2018,9512,Diesel,Automatic,Blue,First,Corporate,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4657.0,1881.0,1678.0,5.0,67.0
Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,29700,2020,11293,Diesel,Automatic,White,First,Individual,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,AWD,4395.0,1818.0,1640.0,5.0,60.0
Mahindra,Scorpio SLE BS-IV,4800,2014,78000,Diesel,Manual,White,Second,Individual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430.0,1817.0,1975.0,8.0,60.0
Honda,Brio S MT,5280,2016,50374,Petrol,Manual,White,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610.0,1680.0,1500.0,5.0,35.0
BMW,3-Series 320i Luxury Line,33600,2017,15900,Petrol,Automatic,White,First,Individual,1998 cc,181 bhp @ 5000 rpm,270 Nm @ 1350 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
Honda,City V Petrol [2017-2019],7740,2017,64000,Petrol,Manual,White,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Volkswagen,Polo Highline1.2L (D),4380,2013,78000,Diesel,Manual,Silver,First,Individual,1199 cc,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
Maruti Suzuki,Vitara Brezza ZXi Plus,12539,2021,24000,Petrol,Manual,Silver,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Maruti Suzuki,Eeco 7 STR [2019-2020],6180,2019,40310,Petrol,Manual,Grey,Second,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675.0,1475.0,1800.0,7.0,40.0
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],5460,2015,69700,Petrol,Automatic,Blue,First,Individual,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
BMW,X3 xDrive20d,21600,2012,74073,Diesel,Automatic,Black,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,AWD,4648.0,1881.0,1661.0,5.0,67.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],41988,2019,73000,Diesel,Automatic,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795.0,1855.0,1835.0,7.0,80.0
Honda,Civic 1.8S MT,2280,2006,130000,Petrol,Manual,Maroon,Third,Individual,1799 cc,130 bhp @ 6300 rpm,171.62 Nm @ 4300 rpm,FWD,4545.0,1750.0,1450.0,5.0,50.0
Audi,A4 2.0 TDI (143 bhp),15000,2012,50000,Diesel,Automatic,White,First,Individual,,,,,,,,,
Maruti Suzuki,Swift ZXi Plus AMT,9300,2021,24000,Petrol,Automatic,Grey,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3845.0,1735.0,1530.0,5.0,37.0
Hyundai,Elite i20 Sportz 1.5 MT Diesel,9900,2021,43000,Diesel,Manual,White,First,Individual,1493 cc,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,FWD,3995.0,1775.0,1505.0,5.0,37.0
Audi,A3 35 TDI Technology + Sunroof,27000,2016,40500,Diesel,Automatic,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
Honda,City V CVT Petrol [2017-2019],10380,2017,49013,Petrol,Automatic,Grey,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Ford,Figo Duratorq Diesel Titanium 1.4,3588,2013,64983,Diesel,Manual,Red,First,Individual,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3795.0,1680.0,1427.0,5.0,45.0
Honda,Jazz VX Petrol,6840,2017,92270,Petrol,Manual,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0
Volkswagen,Polo Highline1.2L (P),4620,2013,65000,Petrol,Manual,White,First,Individual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
Honda,Amaze 1.5 SX i-DTEC,4200,2014,110000,Diesel,Manual,Black,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
Toyota,Camry 2.5L AT,28140,2017,47000,Petrol,Automatic,Brown,First,Individual,2494 cc,179 bhp @ 6000 rpm,233 Nm @ 4100 rpm,FWD,4825.0,1825.0,1480.0,5.0,70.0
Mahindra,Thar LX 4-STR Hard Top Petrol AT,19800,2022,10000,Petrol,Automatic,Black,First,Individual,1997 cc,150 bhp @ 5000 rpm,320 Nm @ 1500 rpm,AWD,3985.0,1820.0,1844.0,4.0,57.0
Mercedes-Benz,C-Class 250 CDI Elegance,13200,2011,51500,Diesel,Automatic,Black,Second,Individual,2143 cc,207@4200,500@1600,RWD,4596.0,1770.0,1447.0,5.0,66.0
Audi,Q3 35 TDI quattro Premium Plus,34800,2018,35000,Diesel,Automatic,White,First,Individual,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
Maruti Suzuki,Baleno Sigma 1.2,6540,2017,61518,Petrol,Manual,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
BMW,X1 sDrive20d xLine,35880,2018,34000,Diesel,Automatic,White,First,Corporate,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454.0,2044.0,1545.0,5.0,63.0
Maruti Suzuki,Baleno Zeta 1.2,7380,2017,36058,Petrol,Manual,Silver,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Hyundai,Creta 1.6 SX Plus AT,10680,2016,88000,Diesel,Automatic,Silver,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Volkswagen,Vento Comfortline Petrol,5160,2015,98112,Petrol,Manual,Brown,First,Individual,1598 cc,103 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4384.0,1699.0,1466.0,5.0,55.0
Mercedes-Benz,C-Class 220 BlueEfficiency,19800,2013,58000,Diesel,Automatic,Silver,First,Individual,2143 cc,170 bhp @ 4200 rpm,400 Nm @ 2800 rpm,RWD,4596.0,1770.0,1447.0,5.0,66.0
Toyota,Camry Hybrid,19188,2015,92355,Petrol,Automatic,Silver,First,Individual,2494 cc,202 bhp @ 5700 rpm,270 Nm @ 4500 rpm,FWD,4825.0,1825.0,1480.0,5.0,65.0
Maruti Suzuki,DZire VXi,8292,2019,16652,Petrol,Manual,White,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
Nissan,Terrano XV D THP 110 PS,7800,2016,76584,Diesel,Manual,White,First,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,4331.0,1822.0,1671.0,5.0,50.0
Maruti Suzuki,Wagon R LXI CNG,4980,2015,42500,CNG,Manual,Brown,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],8028,2016,70000,Diesel,Manual,Grey,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
BMW,X5 xDrive30d Pure Experience (5 Seater),35400,2015,84700,Diesel,Automatic,Black,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,5.0,
Mercedes-Benz,GLC 220 d Sport,46800,2018,83400,Diesel,Automatic,White,Second,Individual,,,,,,,,,
Porsche,Cayenne Coupe Platinum Edition,194400,2022,2766,Petrol,Automatic,Blue,First,Individual,2995 cc,335 bhp @ 5300 rpm,450 Nm @ 1340 rpm,AWD,4931.0,1983.0,1676.0,4.0,75.0
Mercedes-Benz,C-Class Cabriolet C 300,61200,2017,56000,Petrol,Automatic,White,Second,Individual,1991 cc,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD,4686.0,1810.0,1409.0,4.0,59.0
Hyundai,Elite i20 Magna 1.2,6300,2015,68766,Petrol,Manual,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Hyundai,Verna 1.6 VTVT SX,9000,2018,16339,Petrol,Manual,Black,First,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Honda,Amaze 1.2 SX i-VTEC,5340,2016,63882,Petrol,Manual,Bronze,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
Toyota,Corolla Altis 1.8 G,5916,2012,28732,Petrol,Manual,Silver,First,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4540.0,1760.0,1480.0,5.0,55.0
Hyundai,Elite i20 Sportz 1.2 (O),7332,2017,51349,Petrol,Manual,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],5700,2014,61866,Petrol,Automatic,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Hyundai,Creta SX Plus 1.6  Petrol,11100,2017,29401,Petrol,Manual,Grey,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Audi,A6 2.0 TDI Premium,15900,2012,98580,Diesel,Automatic,White,First,Individual,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD,4915.0,1874.0,1455.0,5.0,65.0
BMW,X1 sDrive20d xLine,46800,2021,8000,Diesel,Automatic,Black,First,Individual,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454.0,2044.0,1545.0,5.0,63.0
Mahindra,XUV300 W8 (O) 1.5 Diesel,15588,2020,31348,Diesel,Manual,White,First,Individual,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD,3995.0,1821.0,1627.0,5.0,42.0
Maruti Suzuki,Swift ZDi Plus,6960,2018,28851,Diesel,Manual,Blue,First,Corporate,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
Honda,Brio S MT,2748,2013,38175,Petrol,Manual,Blue,First,Individual,,,,,,,,,
Mahindra,Thar LX 4-STR Hard Top Petrol MT,18900,2021,8519,Petrol,Manual,Blue,First,Individual,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,3985.0,1820.0,1844.0,4.0,57.0
Honda,City 1.5 S MT,4500,2011,78000,Petrol,Manual,Bronze,First,Individual,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
Mercedes-Benz,E-Class E 250 CDI Avantgarde,27000,2015,48000,Diesel,Automatic,White,First,Individual,2143 cc,204 bhp @ 4200 rpm,500 Nm @ 1600 rpm,RWD,4879.0,1854.0,1474.0,5.0,80.0
Toyota,Fortuner 3.0 4x2 AT,16800,2014,143000,Diesel,Automatic,White,Second,Individual,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,4705.0,1840.0,1850.0,7.0,80.0
Tata,Zest XM 75 PS Diesel,5100,2017,39000,Diesel,Manual,Silver,First,Commercial Registration,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3995.0,1706.0,1570.0,5.0,44.0
Skoda,Rapid Ambition 1.6 MPI AT Plus,5100,2014,24000,Petrol,Automatic,Beige,Second,Individual,1598 cc,104 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4386.0,1699.0,1466.0,5.0,55.0
Maruti Suzuki,Alto 800 Lxi,3000,2015,62000,Petrol,Manual,Maroon,Second,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
Maruti Suzuki,Ertiga VDi,5100,2012,78000,Diesel,Manual,White,Second,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4265.0,1695.0,1685.0,7.0,45.0
Hyundai,Santro GL LPG,1440,2009,48500,LPG,Manual,Grey,Fourth,Individual,1086 cc,63@5500,89@3000,,3565.0,1525.0,1590.0,5.0,35.0
Ford,Figo Duratorq Diesel ZXI 1.4,2820,2014,82000,Diesel,Manual,White,Second,Individual,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3795.0,1680.0,1427.0,5.0,45.0
Audi,A3 35 TDI Technology + Sunroof,36600,2020,40910,Diesel,Automatic,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
Tata,Harrier XZ Plus,25740,2020,10290,Diesel,Manual,Red,First,Individual,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4598.0,1894.0,1706.0,5.0,50.0
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,14940,2021,10530,Petrol,Automatic,Red,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1775.0,1505.0,5.0,37.0
Hyundai,Elite i20 Asta 1.2,6588,2015,61900,Petrol,Manual,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Volkswagen,Polo Highline1.2L (D),5819,2013,78000,Diesel,Manual,White,Second,Individual,1199 cc,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
Maruti Suzuki,Swift DZire VXI,4980,2014,57402,Petrol,Manual,Grey,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
